Station: Lugano-Università
Urban
Hourly means, PREC: Hourly sums
MEZ/CET
Source: NABEL/MeteoSchweiz
Date/time;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NMVOC [ppm];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2022 01:00;7.1;30.2;2.7;0.40;28.8;21.6;;17562.9;0.1;42.7;5.3;0.0;0.0
01.01.2022 02:00;7.8;29.1;2.7;0.40;20.4;15.2;;16320.4;0.1;40.8;5.0;0.0;0.0
01.01.2022 03:00;6.4;29.6;2.6;0.40;15.0;10.9;;14448.3;0.1;39.2;4.9;0.0;0.0
01.01.2022 04:00;9.2;26.7;2.5;0.30;9.8;6.8;;11979.7;0.1;32.7;4.9;0.0;0.0
01.01.2022 05:00;14.2;22.9;2.6;0.20;6.7;4.4;;9783.1;0.1;26.3;5.2;0.0;0.0
01.01.2022 06:00;13.3;26.6;2.9;0.30;5.3;3.1;;9443.6;0.1;31.3;5.5;0.0;0.0
01.01.2022 07:00;4.3;39.4;4.0;0.30;5.8;2.9;;15408.1;0.1;60.0;5.3;0.0;0.0
01.01.2022 08:00;2.3;42.2;4.3;0.20;5.8;2.6;;15463.7;0.1;74.0;5.4;0.0;0.3
01.01.2022 09:00;2.6;41.9;5.3;0.30;6.1;2.5;;18871.7;0.1;90.5;5.7;0.0;32.3
01.01.2022 10:00;5.0;40.0;6.5;0.30;8.0;3.6;;19093.9;0.1;88.9;6.2;0.0;93.3
01.01.2022 11:00;7.4;41.8;8.1;0.40;8.9;5.1;;21805.8;0.2;101.1;7.4;0.0;264.7
01.01.2022 12:00;19.4;27.2;8.6;0.30;12.6;8.6;;11395.1;0.1;47.6;7.9;0.0;338.7
01.01.2022 13:00;27.8;25.7;5.7;0.30;11.5;8.0;;9094.6;0.1;39.7;9.1;0.0;365.0
01.01.2022 14:00;37.3;18.1;3.9;0.30;12.5;7.2;;8061.2;0.1;25.6;9.8;0.0;332.3
01.01.2022 15:00;28.4;28.1;4.3;0.30;17.2;9.3;;9871.3;0.1;38.7;9.7;0.0;258.2
01.01.2022 16:00;21.5;35.2;3.8;0.30;18.8;9.6;;9606.7;0.1;45.7;9.8;0.0;144.5
01.01.2022 17:00;6.0;60.5;4.4;0.60;39.9;12.6;;17192.6;0.2;189.1;9.5;0.0;24.5
01.01.2022 18:00;2.6;59.0;4.8;0.70;34.4;13.1;;17506.6;0.3;188.0;8.7;0.0;0.0
01.01.2022 19:00;3.4;48.2;4.6;0.50;28.0;13.5;;20433.7;0.2;124.1;8.0;0.0;0.0
01.01.2022 20:00;4.0;43.8;4.4;0.50;23.6;13.8;;20786.6;0.2;92.0;7.3;0.0;0.0
01.01.2022 21:00;4.9;40.2;4.4;0.40;23.3;15.8;;20515.2;0.1;67.7;6.8;0.0;0.0
01.01.2022 22:00;4.9;38.6;4.5;0.50;24.6;17.2;;20552.2;0.2;71.7;6.3;0.0;0.0
01.01.2022 23:00;5.1;35.8;4.2;0.40;21.7;15.2;;20016.9;0.1;57.0;5.8;0.0;0.0
02.01.2022 00:00;4.3;35.7;3.7;0.40;21.5;14.9;;16113.6;0.1;60.0;5.2;0.0;0.0
02.01.2022 01:00;5.9;32.1;2.9;0.40;16.7;12.3;;11999.1;0.1;44.1;4.9;0.0;0.0
02.01.2022 02:00;5.3;31.0;2.8;0.40;13.2;9.9;;11116.7;0.1;39.1;4.7;0.0;0.0
