Station: Rigi-Seebodenalp
Rural, > 1000 m
Hourly means, PREC: Hourly sums
MEZ/CET
Source: NABEL/MeteoSchweiz
Date/time;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2022 01:00;73.6;1.9;0.1;0.20;11.1;6.0;;13305.1;2.0;10.3;0.0;-1.8
01.01.2022 02:00;73.6;1.1;0.1;0.10;1.9;0.7;;4198.9;1.1;11.5;0.0;-1.8
01.01.2022 03:00;72.3;0.8;0.1;0.10;1.3;0.4;;1951.8;0.8;10.5;0.0;-2.2
01.01.2022 04:00;72.0;0.7;0.1;0.10;1.1;0.4;;1571.1;0.7;10.3;0.0;-1.9
01.01.2022 05:00;73.1;0.7;0.1;0.10;1.4;0.5;;1862.5;0.8;10.6;0.0;-1.9
01.01.2022 06:00;68.9;0.8;0.1;0.10;1.3;0.5;;1813.7;0.8;9.0;0.0;-2.0
01.01.2022 07:00;67.8;0.8;0.1;0.10;1.4;0.6;;1936.7;0.9;8.5;0.0;-1.9
01.01.2022 08:00;70.9;0.7;0.1;0.10;1.3;0.5;;1833.5;0.7;9.0;0.0;-1.4
01.01.2022 09:00;71.1;0.7;0.1;0.10;1.0;0.5;;1732.8;0.8;9.5;0.0;8.0
01.01.2022 10:00;70.7;0.6;0.1;0.10;1.0;0.4;;1603.0;0.7;10.1;0.0;24.3
01.01.2022 11:00;71.5;0.5;0.1;0.10;1.1;0.4;;1243.4;0.6;10.0;0.0;38.5
01.01.2022 12:00;68.8;0.4;0.1;0.10;0.7;0.3;;976.7;0.5;12.1;0.0;320.8
01.01.2022 13:00;70.3;0.5;0.1;0.10;0.6;0.3;;1072.7;0.6;13.9;0.0;332.7
01.01.2022 14:00;67.3;0.5;0.1;0.10;0.6;0.3;;1162.8;0.6;13.9;0.0;264.3
01.01.2022 15:00;69.5;0.8;0.1;0.10;1.5;0.4;;1529.6;1.0;14.2;0.0;257.7
01.01.2022 16:00;64.8;0.7;0.1;0.10;1.7;0.7;;1388.3;0.8;13.9;0.0;148.1
01.01.2022 17:00;70.8;0.7;0.1;0.10;1.3;0.6;;1073.5;0.8;12.9;0.0;22.3
